UserID,Age,Gender,Location,Income,Debt,Owns Property,Profession,Demographics,Platform,Total Time Spent,Number of Sessions,Video ID,Video Category,Video Length,Engagement,Importance Score,Time Spent On Video,Number of Videos Watched,Scroll Rate,Frequency,ProductivityLoss,Satisfaction,Watch Reason,DeviceType,OS,Watch Time,Self Control,Addiction Level,CurrentActivity,ConnectionType,AvgTimePerSession,EngagementPerVideo,EngagementPerVideo_Log
1,56,1,Pakistan,82812,True,True,Engineer,1,2,80,17,4229,Pranks,24,7867,5,26,22,87,Night,3,7,Procrastination,Smartphone,Android,9:00 PM,5,5,Commuting,Mobile Data,4.705882352941177,357.59090909090907,5.882182209736774
2,46,0,Mexico,27999,False,True,Artist,0,2,228,14,2131,Pranks,19,5944,6,25,31,46,Afternoon,5,5,Habit,Computer,Android,5:00 PM,7,3,At school,Wi-Fi,16.285714285714285,191.74193548387098,5.261352172314565
3,32,0,United States,42436,False,True,Engineer,1,4,30,6,4367,Vlogs,19,8674,3,9,7,88,Evening,6,4,Entertainment,Tablet,Android,2:00 PM,8,2,At home,Mobile Data,5.0,1239.142857142857,7.122981859336495
4,60,1,Barzil,62963,True,False,Waiting staff,1,3,101,19,1507,Vlogs,4,2477,2,6,41,93,Night,3,7,Habit,Smartphone,Android,9:00 PM,5,5,Commuting,Mobile Data,5.315789473684211,60.41463414634146,4.117648147899985
5,25,1,Pakistan,22096,False,True,Manager,0,1,136,6,2159,Gaming,19,3093,7,13,21,4,Morning,8,2,Boredom,Smartphone,iOS,8:00 AM,10,0,At home,Mobile Data,22.666666666666668,147.28571428571428,4.99914091467052
6,38,1,Vietnam,45279,False,False,driver,0,2,89,18,2917,Jokes/Memes,9,8534,5,27,16,38,Night,3,7,Entertainment,Computer,Android,9:00 PM,5,5,At home,Wi-Fi,4.944444444444445,533.375,6.281097839691025
7,56,1,India,46201,False,False,Students,1,1,247,5,3230,Vlogs,16,7207,9,22,20,63,Morning,8,2,Habit,Smartphone,Android,8:00 AM,10,0,At school,Wi-Fi,49.4,360.35,5.88984701772899
8,36,1,Barzil,39715,False,False,Engineer,1,2,191,6,9859,Entertainment,27,9654,3,28,43,29,Night,3,7,Entertainment,Tablet,Android,9:00 PM,5,5,At home,Mobile Data,31.833333333333332,224.51162790697674,5.418371722610984
9,40,1,United States,49309,False,False,Waiting staff,1,2,34,2,6266,Vlogs,4,9394,8,20,44,19,Night,3,7,Entertainment,Computer,Android,9:00 PM,5,5,At home,Mobile Data,17.0,213.5,5.368309738368072
10,28,2,United States,35078,False,False,Students,1,3,165,8,4137,ASMR,6,9813,6,4,47,91,Evening,6,4,Boredom,Smartphone,iOS,2:00 PM,8,2,At home,Mobile Data,20.625,208.7872340425532,5.346093845886623
11,28,1,Indonesia,76614,True,True,Manager,1,2,14,15,2690,Pranks,8,6227,4,2,19,29,Afternoon,5,5,Boredom,Smartphone,Android,5:00 PM,7,3,At home,Mobile Data,0.9333333333333333,327.7368421052632,5.7952575586765835
12,41,2,Philippines,25105,False,False,Labor/Worker,0,1,129,15,7191,Life Hacks,27,3535,9,26,48,35,Evening,6,4,Habit,Tablet,Android,2:00 PM,8,2,At home,Wi-Fi,8.6,73.64583333333333,4.312754706397063
13,53,1,Japan,22839,False,False,Waiting staff,1,2,286,11,2811,Gaming,29,7004,5,4,32,70,Afternoon,5,5,Habit,Smartphone,Android,5:00 PM,7,3,At school,Mobile Data,26.0,218.875,5.393059203057723
14,57,1,Indonesia,88920,True,True,Waiting staff,1,4,27,1,6153,Vlogs,24,2913,6,8,15,23,Evening,6,4,Entertainment,Tablet,Android,2:00 PM,8,2,Commuting,Wi-Fi,27.0,194.2,5.274024673978992
15,41,2,Vietnam,63619,True,True,Cashier,1,3,207,18,13,Gaming,16,9381,9,13,5,46,Evening,6,4,Boredom,Tablet,iOS,2:00 PM,8,2,At school,Wi-Fi,11.5,1876.2,7.537536583920263
16,20,0,Philippines,62821,True,True,Students,1,3,66,12,5939,Entertainment,5,2340,7,10,11,44,Evening,6,4,Entertainment,Smartphone,MacOS,2:00 PM,8,2,At school,Mobile Data,5.5,212.72727272727272,5.364700775741699
